хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2017-10-12,'603385,╩щ╢Онют║,25.26,25.6,25.11,25.32,25.39,-0.13,-0.512,3.1787,2258136,57151986.0,7177657063.86,1794470400.0
2017-10-11,'603385,╩щ╢Онют║,25.39,25.85,25.2,25.67,25.67,-0.28,-1.0908,4.3716,3105605,79283439.0,7214596708.29,1803705600.0
2017-10-10,'603385,╩щ╢Онют║,25.67,25.75,25.29,25.49,25.49,0.18,0.7062,4.4813,3183486,81443110.0,7294159019.37,1823596800.0
2017-10-09,'603385,╩щ╢Онют║,25.49,25.56,24.81,25.08,24.87,0.62,2.493,5.2403,3722709,93769925.0,7243011819.39,1810809600.0
2017-09-29,'603385,╩щ╢Онют║,24.87,24.96,24.35,24.37,24.43,0.44,1.8011,3.2422,2303279,56990064.0,7066838130.57,1766764800.0
2017-09-28,'603385,╩щ╢Онют║,24.43,24.65,24.33,24.48,24.48,-0.05,-0.2042,2.9122,2068850,50641534.0,6941811641.73,1735507200.0
2017-09-27,'603385,╩щ╢Онют║,24.48,24.55,24.26,24.39,24.28,0.2,0.8237,2.9918,2125395,51880298.0,6956019197.28,1739059200.0
2017-09-26,'603385,╩щ╢Онют║,24.28,24.85,24.08,24.75,24.79,-0.51,-2.0573,3.8794,2755951,67191685.0,6899188975.08,1724851200.0
2017-09-25,'603385,╩щ╢Онют║,24.79,25.49,24.61,25.4,25.47,-0.68,-2.6698,4.3705,3104806,77877601.0,7044106041.69,1761081600.0
2017-09-22,'603385,╩щ╢Онют║,25.47,25.61,25.19,25.26,25.32,0.15,0.5924,3.41,2422488,61577619.0,7237328797.17,1809388800.0
2017-09-21,'603385,╩щ╢Онют║,25.32,25.64,25.19,25.62,25.77,-0.45,-1.7462,5.1073,3628223,92086344.0,7194706130.52,1798732800.0
2017-09-20,'603385,╩щ╢Онют║,25.77,25.92,25.12,25.68,25.57,0.2,0.7822,7.0278,4992556,127419233.0,7322574130.47,1830700800.0
2017-09-19,'603385,╩щ╢Онют║,25.57,26.47,25.46,26.17,26.38,-0.81,-3.0705,8.1107,5761860,148762743.0,7265743908.27,1816492800.0
2017-09-18,'603385,╩щ╢Онют║,26.38,27.17,26.28,26.73,26.75,-0.37,-1.3832,7.8405,5569912,148528547.0,7495906308.18,1874035200.0
2017-09-15,'603385,╩щ╢Онют║,26.75,26.85,26.35,26.5,26.64,0.11,0.4129,6.6916,4753700,126287545.0,7601042219.25,1900320000.0
2017-09-14,'603385,╩щ╢Онют║,26.64,27.2,26.4,26.61,27.07,-0.43,-1.5885,12.012,8533337,227782725.0,7569785597.04,1892505600.0
2017-09-13,'603385,╩щ╢Онют║,27.07,27.28,25.72,25.98,25.86,1.21,4.679,21.2308,15082343,402636291.0,7691970574.77,1923052800.0
2017-09-12,'603385,╩щ╢Онют║,25.86,26.2,25.33,25.44,25.44,0.42,1.6509,9.8135,6971520,179506538.0,7348147730.46,1837094400.0
2017-09-11,'603385,╩щ╢Онют║,25.44,25.45,24.89,25.08,25.22,0.22,0.8723,6.0815,4320276,109129222.0,7228804263.84,1807257600.0
